[(u'diapolo', 159),
 (u'gavinandresen', 122),
 (u'sipa', 107),
 (u'jgarzik', 94),
 (u'gmaxwell', 87),
 (u'luke-jr', 87),
 (u'laanwj', 85),
 (u'petertodd', 50),
 (u'thebluematt', 41),
 (u'mikehearn', 33),
 (u'rebroad', 31),
 (u'sergiodemianlerner', 15),
 (u'codeshark', 12),
 (u'jonasschnelli', 12),
 (u'wtogami', 11),
 (u'qubez', 9),
 (u'schildbach', 8),
 (u'dooglus', 6),
 (u'theuni', 6),
 (u'bitcoinpulltester', 5),
 (u'edam', 5),
 (u'goonie', 5),
 (u'johndillon', 5),
 (u'nemysis', 5),
 (u'toffoo', 5),
 (u'cozz', 4),
 (u'rdponticelli', 4),
 (u'rofl0r', 4),
 (u'sje397', 4),
 (u'suffice', 4),
 (u'allthingsbitcoin', 3),
 (u'brandondahler', 3),
 (u'denis2342', 3),
 (u'drak', 3),
 (u'idiotsabound', 3),
 (u'jrmithdobbs', 3),
 (u'kyledrake', 3),
 (u'lohoris', 3),
 (u'p2k', 3),
 (u'paraboul', 3),
 (u'paraipan', 3),
 (u'robbak', 3),
 (u'roconnor', 3),
 (u'vladgiurgiubv', 3),
 (u'xanatos', 3),
 (u'xcaninox', 3),
 (u'63', 2),
 (u'aperson241', 2),
 (u'bluematt', 2),
 (u'cjastram', 2),
 (u'dacoinminster', 2),
 (u'echo', 2),
 (u'falinatecas', 2),
 (u'fanquake', 2),
 (u'gruez', 2),
 (u'gyver', 2),
 (u'hrobbins', 2),
 (u'jeffmendoza', 2),
 (u'kuzetsa', 2),
 (u'l2g', 2),
 (u'm4v3r', 2),
 (u'mikegogulski', 2),
 (u'pentarh', 2),
 (u'pstratem', 2),
 (u'sje1', 2),
 (u'slothbag', 2),
 (u'soulhunter', 2),
 (u'soundasleep', 2),
 (u'tcatm', 2),
 (u'turkeyman', 2),
 (u'vinniefalco', 2),
 (u'wumpus', 2),
 (u'2.0.11', 1),
 (u'2.2.0', 1),
 (u'3.2.2', 1),
 (u'adrelanos', 1),
 (u'aeyoun', 1),
 (u'ag346', 1),
 (u'ahdinosaur', 1),
 (u'alanast1', 1),
 (u'alexgenaud', 1),
 (u'anarcat', 1),
 (u'apoelstra', 1),
 (u'ashleyholman', 1),
 (u'awishformore', 1),
 (u'bitcoinstarter', 1),
 (u'bobalot', 1),
 (u'boltblit', 1),
 (u'bondbeau', 1),
 (u'burger2', 1),
 (u'bytemaster', 1),
 (u'casascius', 1),
 (u'cjdelisle', 1),
 (u'clopez', 1),
 (u'coderrr', 1),
 (u'cryddit', 1),
 (u'diapolo?', 1),
 (u'doublec', 1),
 (u'dscotese', 1),
 (u'eldentyrell', 1),
 (u'enelar', 1),
 (u'eurekafag', 1),
 (u'forrestv', 1),
 (u'fredan', 1),
 (u'frespa81', 1),
 (u'gavin', 1),
 (u'graingert', 1),
 (u'grayleonard', 1),
 (u'hank', 1),
 (u'imton', 1),
 (u'interfect', 1),
 (u'jbreher', 1),
 (u'jeremysawicki', 1),
 (u'jevonx', 1),
 (u'jmack', 1),
 (u'joelkatz', 1),
 (u'keo', 1),
 (u'keystrike', 1),
 (u'kjj', 1),
 (u'lachesis', 1),
 (u'lano1106', 1),
 (u'lzrloveyou', 1),
 (u'maaku', 1),
 (u'mai77', 1),
 (u'makomk', 1),
 (u'matoking', 1),
 (u'mazo', 1),
 (u'medicinebottle', 1),
 (u'midnightmagic', 1),
 (u'mikehern', 1),
 (u'molecular', 1),
 (u'msva', 1),
 (u'narufgt', 1),
 (u'neofutur', 1),
 (u'nikolajsheller', 1),
 (u'nmarley', 1),
 (u'pascalbokbok', 1),
 (u'petertodd)', 1),
 (u'philip', 1),
 (u'piratelinux', 1),
 (u'plaid', 1),
 (u'poes', 1),
 (u'polyergic', 1),
 (u'prusnak', 1),
 (u'pszturmaj', 1),
 (u'robzrob', 1),
 (u'roques', 1),
 (u'runeksvendsen', 1),
 (u'ryepdx', 1),
 (u'satoshiroulette', 1),
 (u'schmollen', 1),
 (u'shadders', 1),
 (u'simondlr', 1),
