You	5charwords	Positive	Questags	@Mentions	I	We	Negative	user type
0.0	0.444444444444	0.0	0.0	0.0	0.0	0.0	0.0	Non-Core
0.0	0.460732984293	0.166666666667	0.5	0.166666666667	1.16666666667	0.166666666667	0.833333333333	Non-Core
0.0	0.529411764706	2.0	0.0	0.0	1.0	0.0	0.0	Non-Core
0.0	0.426751592357	1.33333333333	0.666666666667	0.333333333333	2.0	0.0	0.333333333333	Non-Core
0.3	0.421383647799	0.4	0.4	0.0	0.6	0.4	0.7	Non-Core
0.111111111111	0.367041198502	0.666666666667	0.777777777778	0.0	0.888888888889	0.0	0.333333333333	Non-Core
0.333333333333	0.422464375524	0.6	0.5	0.2	0.866666666667	0.1	0.3	Non-Core
0.333333333333	0.448275862069	2.0	1.0	0.333333333333	2.66666666667	0.666666666667	2.33333333333	Non-Core
0.0	0.684210526316	0.0	0.0	0.0	0.0	0.0	0.0	Non-Core
0.0	0.387283236994	4.0	3.0	0.0	10.0	0.0	2.0	Non-Core
1.0	0.418604651163	1.0	0.0	0.0	1.0	0.0	0.0	Non-Core
0.333333333333	0.519157088123	1.33333333333	0.0	0.333333333333	1.0	0.0	0.666666666667	Non-Core
0.0	0.434210526316	1.0	0.5	0.0	0.5	0.0	0.0	Non-Core
0.0	0.82295988935	0.0	0.0	0.0	0.0	0.0	0.0	Non-Core
0.0	0.427419354839	0.25	0.0	0.0	0.75	0.0	0.0	Non-Core
0.166666666667	0.438485804416	0.833333333333	0.0	0.0	1.0	0.0	0.833333333333	Non-Core
0.0	0.352941176471	0.0	0.0	0.0	1.0	0.0	0.0	Non-Core
0.0588235294118	0.453686200378	0.117647058824	0.0588235294118	0.0	0.647058823529	0.0	0.588235294118	Non-Core
0.333333333333	0.333333333333	0.0	0.0	0.0	1.33333333333	0.0	0.0	Non-Core
0.0	0.456790123457	0.5	0.5	0.0	0.5	0.0	0.5	Non-Core
0.0	0.372262773723	1.0	0.5	0.0	4.0	0.0	1.0	Non-Core
0.25	0.45652173913	1.0	0.25	0.0	2.0	0.0	0.75	Non-Core
0.0	0.45652173913	1.0	0.0	0.0	1.0	0.0	0.0	Non-Core
1.92307692308	0.412873563218	2.92307692308	1.61538461538	0.153846153846	1.76923076923	0.230769230769	1.76923076923	Non-Core
0.0	0.321428571429	0.5	0.0	0.0	1.0	0.0	0.0	Non-Core
0.166666666667	0.584615384615	1.66666666667	0.5	0.0	1.83333333333	0.0	1.33333333333	Non-Core
0.0	0.421052631579	0.0	1.0	0.0	1.0	0.0	3.0	Non-Core
0.0	0.285714285714	0.0	0.0	0.0	1.0	0.0	0.0	Non-Core
0.0	0.369565217391	0.75	1.25	0.0	2.75	0.0	0.5	Non-Core
6.0	0.351172579675	3.5	2.08333333333	0.0	3.08333333333	0.0833333333333	3.0	Non-Core
0.291666666667	0.42996742671	0.75	0.208333333333	0.166666666667	0.458333333333	0.0833333333333	0.166666666667	Non-Core
0.0	0.423791821561	0.0	0.6	0.2	1.2	0.0	1.0	Non-Core
0.0	0.518518518519	0.0	0.0	0.0	2.0	0.0	0.0	Non-Core
1.25	0.476534296029	3.0	0.75	0.0	2.25	0.0	0.25	Non-Core
0.5	0.4325	1.5	0.666666666667	0.0	0.833333333333	0.666666666667	2.5	Non-Core
0.625	0.371710526316	0.125	0.375	0.375	1.125	0.125	0.25	Non-Core
0.0	0.5	0.75	0.25	0.0	0.5	0.0	0.25	Non-Core
0.0	0.285714285714	0.0	0.0	0.0	0.0	0.0	0.0	Non-Core
0.0	0.415094339623	1.5	0.5	0.0	1.0	0.0	0.0	Non-Core
0.0	0.416216216216	2.0	1.0	0.0	3.0	0.0	1.0	Non-Core
1.0	0.476744186047	0.5	0.0	0.5	1.5	0.0	1.0	Non-Core
0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	Non-Core
0.0	0.72	0.0	0.0	0.0	0.0	0.0	0.0	Non-Core
